11,6,11,6,11
10,8,10,8,10
1,0,1,12,1
1,0,1,9,1
1,0,1,5,1
9,0,9,11,9
6,9,6,12,10
8,5,8,9,6
7,11,7,4,8
4,12,2,10,7
10,9,2,3,4
5,4,2,3,10
11,10,10,3,5
7,3,5,7,11
3,3,11,4,7
3,3,7,11,6
3,7,0,6,11
8,4,0,10,8
6,11,0,12,5
9,10,0,9,9
10,12,11,2,0
4,9,8,2,0
7,2,6,2,0
5,2,9,8,0
11,2,0,11,8
8,8,0,5,10
2,11,0,7,4
2,5,0,4,7
2,7,10,10,5
9,4,4,0,11
6,10,7,0,8
10,0,5,0,2
11,0,11,0,2
5,0,8,9,2
7,0,2,6,9
3,9,2,8,10
3,6,2,5,6
3,8,9,11,11
10,11,12,12,8
9,0,10,7,4
4,0,11,11,9
11,0,4,5,7
5,0,7,10,3
9,7,3,4,3
8,11,3,7,3
6,5,3,8,10
,10,10,6,7
,4,4,9,4
,7,9,1,9
,8,12,1,5
,6,11,1,8
,9,5,10,9
,1,9,11,6
,1,0,,
,1,0,,
,10,0,,
,11,0,,
,,8,,
,,6,,
