0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
3,2,4,1,4
7,8,9,7,9
4,12,2,3,1
9,7,11,10,10
2,2,1,5,3
10,8,6,6,6
3,3,12,12,5
11,9,11,10,8
5,2,5,5,4
8,8,8,9,10
4,12,3,4,2
9,9,6,6,8
2,4,1,3,3
11,10,11,9,7
3,1,5,4,5
10,9,6,6,10
4,5,4,12,4
9,6,7,8,6
3,12,2,2,2
11,9,6,9,8
1,5,12,3,3
6,10,10,7,6
2,2,4,4,1
9,6,7,6,10
1,1,3,12,4
8,10,11,8,8
5,3,4,4,1
10,11,6,7,10
2,1,3,3,3
8,9,7,6,8
1,5,4,12,5
7,10,6,7,9
2,12,5,1,4
8,8,7,8,10
1,2,4,5,2
11,7,6,11,6
5,1,3,3,3
8,10,7,7,10
1,4,2,12,4
10,9,6,8,6
2,1,1,3,5
11,8,7,7,7
4,2,4,4,1
8,11,6,10,11
0,0,12,0,0
0,0,10,0,0
0,0,4,0,0
0,0,7,0,0
0,0,0,0,0
3,2,0,1,4
7,8,0,7,9
4,12,0,3,1
9,7,0,10,10
2,2,11,5,3
10,8,5,6,6
3,3,6,12,5
11,9,12,10,8
1,2,11,5,4
8,8,5,9,10
4,12,7,4,2
9,9,3,6,8
2,4,6,3,3
11,10,2,8,7
1,1,11,4,5
10,9,5,9,10
2,5,6,12,4
9,6,4,6,6
3,12,7,2,2
11,9,3,9,8
1,1,6,3,3
6,10,12,7,6
2,2,10,4,1
9,6,1,6,10
1,1,8,12,4
8,10,3,8,8
5,3,11,4,1
10,11,4,7,10
2,1,6,3,3
8,9,3,6,8
1,5,7,12,5
7,10,4,7,9
2,12,10,1,4
8,8,5,8,10
1,2,7,5,2
11,7,4,11,6
5,1,6,3,3
8,10,3,7,10
1,4,7,12,4
10,9,5,8,6
2,1,6,3,5
11,8,3,7,7
4,2,7,4,1
8,11,4,10,11
,,9,,
,,12,,
,,6,,
,,4,,
,,7,,
