9,9,9,7,7
10,10,10,9,9
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
8,8,8,6,8
12,4,3,3,5
11,11,11,11,11
4,12,12,4,4
6,9,6,2,6
3,3,3,9,8
9,11,8,5,2
12,5,4,3,10
11,7,7,10,5
2,2,2,2,8
6,11,6,6,6
4,5,4,3,2
6,7,6,10,10
3,3,3,2,4
9,9,7,7,7
2,2,2,4,3
8,7,8,11,11
5,5,5,3,8
6,6,6,10,2
2,2,2,2,9
10,9,10,8,3
4,4,4,3,8
7,7,7,9,0
5,5,5,2,0
10,11,10,8,0
3,3,3,5,
8,8,8,11,
4,4,4,0,
11,11,6,0,
2,2,2,0,
8,7,8,,
4,4,4,,
6,11,6,,
5,3,5,,
10,7,10,,
12,12,12,,
9,9,7,,
11,0,5,,
,0,8,,
,0,7,,
,,5,,
,,7,,
,,0,,
,,0,,
,,0,,
