11,10,11,10,11
6,5,6,5,6
9,7,9,7,9
7,12,7,12,7
1,11,1,11,1
1,4,1,4,1
1,10,1,10,1
1,7,1,0,1
1,6,1,7,8
1,9,8,6,7
8,2,7,9,4
7,2,4,2,10
4,2,10,2,6
10,2,8,2,8
8,2,5,2,5
5,2,11,9,11
11,2,12,10,0
7,9,7,5,7
6,10,8,11,4
8,5,6,12,8
10,11,10,9,6
4,12,4,6,10
9,9,9,8,4
11,6,11,12,9
3,8,3,10,11
3,10,3,4,3
3,4,3,9,3
3,9,3,5,3
3,5,3,11,3
3,11,3,0,8
3,8,8,8,4
8,4,10,4,10
10,9,5,9,5
5,12,11,12,11
11,7,0,7,0
8,6,8,6,8
6,8,6,8,6
7,0,7,0,7
9,11,12,11,5
4,5,9,5,9
8,10,4,10,4
11,8,8,8,7
5,3,11,3,8
9,3,5,3,0
4,3,9,3,11
10,3,4,3,5
8,3,10,11,9
6,3,8,9,4
9,3,6,4,10
11,11,9,10,8
5,9,12,6,6
10,4,11,8,9
9,10,5,7,11
2,6,10,12,5
2,7,9,11,10
2,12,2,5,9
2,11,2,8,2
2,5,2,12,2
2,8,2,10,2
2,10,2,4,2
9,4,2,7,9
6,7,9,8,6
7,8,6,1,7
10,1,7,1,0
4,1,10,1,10
11,1,4,1,4
7,1,11,7,11
5,1,12,9,6
10,7,7,6,7
,9,5,11,5
,6,10,,10
,11,,,
