8,0,8,7,8
10,9,4,6,4
4,5,10,9,10
9,11,0,10,7
6,0,9,5,5
11,10,6,8,9
7,4,11,11,4
5,7,1,6,8
8,6,1,10,6
4,8,1,4,10
9,5,1,9,4
10,9,7,5,11
5,2,5,11,1
11,2,8,10,1
7,2,4,4,1
6,2,9,7,1
8,11,0,5,9
4,6,10,9,7
10,7,5,6,5
1,0,11,11,8
1,10,3,8,4
1,4,3,5,11
1,8,3,9,9
7,0,3,10,6
6,9,7,4,10
11,6,6,7,5
9,7,9,2,7
5,3,0,2,11
8,3,8,2,3
7,3,4,2,3
4,3,10,8,3
10,11,0,11,3
11,5,7,6,11
5,10,6,7,7
9,0,11,0,6
6,9,2,8,9
,4,2,5,8
,8,2,10,4
,5,2,4,10
,7,9,8,5
,1,5,9,8
,1,8,6,0
,1,6,7,7
,1,7,11,6
,11,4,3,11
,6,10,3,8
,9,0,3,2
,0,11,3,2
,10,5,11,2
,4,9,7,2
,8,0,5,7
,,,10,4
,,,6,10
,,,9,9
,,,11,5
,,,4,8
,,,8,11
,,,5,6
,,,7,9
,,,9,5
,,,1,7
,,,1,4
,,,1,10
,,,1,11
,,,11,5
,,,4,9
,,,10,4
,,,6,10
,,,8,6
,,,4,11
,,,9,8
,,,5,5
,,,7,10
,,,10,9
,,,4,6
,,,8,7
