3,0,0,0,1
3,0,0,0,1
3,0,0,0,1
3,0,0,0,1
7,8,0,0,1
7,8,5,8,6
7,8,5,8,6
7,8,5,8,2
8,8,5,8,2
8,9,7,8,2
8,6,7,3,2
8,6,7,3,2
6,6,4,3,3
6,7,4,3,3
6,7,4,3,3
6,7,4,0,7
2,7,9,0,7
2,9,6,0,5
2,8,6,0,5
2,8,6,0,5
9,8,6,4,5
5,9,1,4,5
5,5,1,4,7
5,5,1,4,7
3,5,1,1,7
3,5,5,1,7
7,2,5,1,8
7,2,5,1,8
1,2,5,1,8
1,2,2,1,8
1,1,2,2,9
1,1,2,2,3
1,1,2,2,3
7,1,6,2,3
7,8,6,1,3
7,8,6,1,3
7,8,6,1,5
5,8,6,7,5
5,8,8,7,4
8,1,8,7,4
8,1,8,7,4
9,5,2,7,1
4,5,2,5,1
4,5,2,5,1
4,7,9,5,1
4,7,5,5,6
6,7,5,5,6
6,7,6,6,6
9,5,6,6,6
8,5,6,6,8
8,2,6,6,8
4,2,1,6,2
4,7,1,3,2
4,7,1,3,2
4,7,6,3,2
5,7,6,3,5
5,7,3,2,5
5,7,3,2,5
5,7,3,2,5
7,3,3,2,1
7,3,,4,1
6,3,,4,1
6,3,,4,1
6,9,,4,1
6,8,,4,2
9,8,,9,2
8,8,,5,2
8,4,,5,2
8,4,,5,2
8,4,,6,4
6,,,6,4
6,,,6,4
6,,,2,4
4,,,2,4
4,,,2,4
3,,,,
3,,,,
3,,,,
3,,,,
2,,,,
